Date,Canton,Value
2020-03-23,Basel Stadt,177.65
2020-03-23,Zürich,66.93
2020-03-23,Valais/Wallis,173.28
2020-03-23,Uri,60.38
2020-03-23,Obwalden,63.42
2020-03-23,Zug,33.90
2020-03-23,Thurgau,29.66
2020-03-23,Ticino,311.60
2020-03-23,Nidwalden,90.23
2020-03-23,Vaud,279.30
2020-03-23,Jura,70.83
2020-03-23,Luzern,42.00
2020-03-23,Graubünden/Grison,142.15
2020-03-23,Schaffhausen,39.03
2020-03-23,Aargau,33.56
2020-03-23,Bern,42.13
2020-03-23,Fribourg/Freiburg,67.46
2020-03-23,Solothurn,34.41
2020-03-23,Basel Land,101.00
2020-03-23,Schwyz,4.40
2020-03-23,Appenzell Ausserrhoden,50.69
2020-03-23,Liechtenstein,129.04
2020-03-24,Basel Land,101.69
2020-03-24,Bern,48.12
2020-03-24,Valais/Wallis,201.19
2020-03-24,Zug,48.88
2020-03-24,Thurgau,31.83
2020-03-24,Appenzell Ausserrhoden,56.12
2020-03-24,Aargau,38.66
2020-03-24,Ticino,320.93
2020-03-24,Neuchâtel,132.32
2020-03-24,Zürich,75.68
2020-03-24,Uri,68.62
2020-03-24,Glarus,79.20
2020-03-24,Schaffhausen,41.47
2020-03-24,Liechtenstein,129.04
2020-03-24,Fribourg/Freiburg,75.62
2020-03-24,Graubünden/Grison,161.81
2020-03-24,Appenzell Innerrhoden,49.55
2020-03-24,Vaud,302.57
2020-03-24,Basel Stadt,193.57
2020-03-24,Obwalden,66.07
2020-03-24,Nidwalden,97.17
2020-03-24,St. Gallen,54.36
2020-03-24,Schwyz,57.17
2020-03-24,Jura,95.34
2020-03-24,Solothurn,37.70
2020-03-24,Genève,348.56
2020-03-24,Luzern,49.81
2020-03-25,Schaffhausen,41.47
2020-03-25,Ticino,352.63
2020-03-25,Glarus,96.53
2020-03-25,Solothurn,46.85
2020-03-25,Fribourg/Freiburg,86.28
2020-03-25,St. Gallen,58.70
2020-03-25,Appenzell Innerrhoden,55.74
2020-03-25,Basel Land,112.10
2020-03-25,Appenzell Ausserrhoden,57.94
2020-03-25,Neuchâtel,137.40
2020-03-25,Schwyz,57.17
2020-03-25,Jura,113.05
2020-03-25,Genève,369.78
2020-03-25,Valais/Wallis,219.21
2020-03-25,Bern,57.01
2020-03-25,Aargau,43.48
2020-03-25,Liechtenstein,129.04
2020-03-25,Obwalden,71.35
2020-03-25,Vaud,317.46
2020-03-25,Nidwalden,92.54
2020-03-25,Thurgau,37.98
2020-03-25,Uri,68.62
2020-03-25,Luzern,54.94
2020-03-25,Zug,54.40
2020-03-25,Zürich,82.58
